
1;Banana;2.99;15
2;Maçã;3.99;90
3;Laranja;4.95;120
4;Abacaxi;8.97;58
5;Morango;14.88;94
6;Uva;12.39;35
7;Melancia;16.98;42
8;Melão;8.97;29
9;Pera;9.50;94
10;Kiwi;13.99;38
11;Manga;15.45;58
12;Abacate;17.96;78
13;Limão;3.98;79
14;Tangerina;2.10;75
15;Ameixa;3.10;43
16;Pêssego;4.96;29
17;Nectarina;8.98;93
18;Figo;14.89;99
19;Caqui;12.40;25
20;Maracujá;16.99;17
21;Goiaba;8.98;25
22;Mamão;9.51;29
23;Caju;13.10;35
24;Acerola;15.46;49
25;Jabuticaba;17.97;54
26;Framboesa;3.99;93
27;Amora;2.10;24
28;Mirtilo;3.10;30
29;Pitanga;4.97;26
30;Carambola;8.99;35
31;Graviola;14.90;34
32;Romã;12.41;32
33;Lichia;16.10;31
34;Cereja;8.99;30
35;Coco;9.52;28
36;Jaca;13.10;27
37;Pinha;15.47;45
38;Tamarindo;17.98;90
39;Cupuaçu;3.10;120
40;Bacuri;2.10;58
41;Mangostão;3.10;94
42;Rambutan;4.98;35
43;Physalis;8.10;42
44;Cambuci;14.91;29
45;Araçá;12.42;94
46;Sapoti;16.10;38
47;Seriguela;8.10;58
48;Jenipapo;9.53;78
49;Umbu;13.10;9
50;Murici;15.48;8
51;Açaí;17.99;7
52;Buriti;3.10;45
53;Pequi;2.10;90
54;Baru;3.10;120
55;Pupunha;4.99;58
56;Bacaba;8.10;94
57;Tucumã;14.92;35
58;Ingá;12.43;42
59;Cambucá;16.10;29
60;Uvaia;8.10;94
61;Jatobá;9.54;38
62;Cabeludinha;13.10;58
63;Grumixama;15.49;78
64;Cambuci;17.10;45
65;Araticum;3.10;90
66;Biribá;2.10;120
67;Guabiroba;3.10;58
68;Guaraná;4.10;94
69;Mangaba;8.10;35
70;Murta;14.93;42
71;Pitomba;12.44;29
72;Sapucaia;16.10;94
73;Taperebá;8.10;38
74;Tucumã;9.55;58
75;Uxi;13.10;78
76;Bacaba;15.50;45
77;Buriti;17.10;90
78;Cupuaçu;3.10;120
79;Jenipapo;2.10;58
80;Murici;3.10;94
81;Pequi;4.10;35
82;Pupunha;8.10;42
83;Tucumã;14.94;29
84;Açaí;12.45;94
85;Bacuri;16.10;38
86;Buriti;8.10;58
87;Cupuaçu;9.56;78
88;Jenipapo;13.10;45
89;Murici;15.51;90
90;Pequi;17.10;120
91;Pupunha;3.10;58
92;Tucumã;2.10;94
93;Açaí;3.10;35
94;Bacuri;4.10;42
95;Buriti;8.10;29
96;Cupuaçu;14.95;94
97;Jenipapo;12.46;38
98;Murici;16.10;58
99;Pequi;8.10;78
100;Pupunha;9.57;65
